"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-17",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-18",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-19",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-20",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-21",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-22",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-23",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-24",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-25",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-26",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-27",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-28",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-29",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-30",,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2014-12-31",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-03-30",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-03-31",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-01",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-02",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-03",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-05",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-06",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-07",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-08",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-09",,,,
"US1NJBG0006","RAMSEY 0.6 E, NJ US","2014-04-11",,,,
