"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-26",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-27",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-28",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-29",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-06-30",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-01",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-02",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-03",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-05",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-15",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-16",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-17",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-18",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-19",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-20",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-21",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-22",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-23",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-24",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-25",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-26",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-27",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-28",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-29",,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-07-30",,,,
